Entidade,NIF,Constituição (t0),Data primeira intervervenção (t1),Total Máximo Reportado em Investimento (em t2),Total FINOVA,Nº Investidores FINOVA,Total Aumento de CS desde 1ª intervenção (t1),CS Final Intervenção (em t2),Total Aumento CS (Inv),CAE,Empresa não sediada em PT,Exit,Emissão de Valores Mobiliários,Montante,Data Emissão,Categorias de Acções,Nº de Acções Especiais,Valor nominal Acções,Nº Investidores (t2),Nº Investidores (t2) FCR´s e SCR´s,Nº Investidores (t2) Outros,Investidores 1,Investidores 2,Investidores 3,Investidores 4,Investidores 5,Investidores 6,Investidores 7,Investidores 8,Investidores 9,Investidores 10,Investidores 11,Investidores 12,Investidores 13,Investidores 14,Investidores 15,Investidores 16,Investidores 17,Investidores 18,Investidores 19,Investidores 20,Investidores 21
ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA,505979098,2013,2013,,0.00E+00,0.00,1.00E+04,1.00E+04,5.80E+03,"M - Actividades de consultoria, científicas, técnicas e similares",DE & MA USA,"Date of Involuntary Revocation, 06-30-2014",Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,2.00E+00,1.00E+00,1.00E+00,Portugal Ventures,Alfama Inc,,,,,,,,,,,,,,,,,,,
"ASINUS ATLANTICUS, S.A.",510452817,2012,2014,8.50E+04,0.00E+00,0.00,5.00E+04,5.00E+04,1.74E+04,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,,,,,,,,,,,,,,,,,,,,
BIOSURFIT S.A.,507503031,2006,2006,,0.00E+00,0.00,7.90E+06,7.90E+06,3.26E+05,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"4,900,963.00",1.00,5.00E+00,5.00E+00,0.00E+00,Fundo de Sindicação de Capital de Risco PME­IAPMEI,Fundo de Capital de Risco Para Investidores Qualificados Beta ­Early Stages,Fundo de Capital de Risco Portugal Ventures Valor.,FCR Empreender+,Fundo de Capital de Risco para Investidores Qualificados PME Investimentos ­ TIEC,,,,,,,,,,,,,,,,
BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,505041944,2005,2006,,0.00E+00,0.00,1.90E+06,1.90E+06,,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"CEV, S.A.",507798961,2006,2007,,0.00E+00,0.00,9.25E+04,9.76E+04,4.76E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"719,149.00",0.10,1.00E+00,1.00E+00,0.00E+00,Fast Change,,,,,,,,,,,,,,,,,,,,
CRITICAL LINKS S.A.,507610830,2006,2007,8.55E+06,0.00E+00,0.00,1.41E+06,2.66E+06,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,5.00,5.00E+00,4.00E+00,1.00E+00,Fast Change,Fundo ISQ Capital,"Critical Ventures, SCR, SA",Portugal Ventures,Critical SGPS (holding),,,,,,,,,,,,,,,,
"CSIDE - SOLUÇÕES INTELIGENTES, S.A.",507997476,2008,2008,,0.00E+00,0.00,9.25E+05,9.25E+05,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"D-ORBIT PT, LDA",513017992,2014,2014,1.00E+05,0.00E+00,0.00,5.00E+03,5.00E+03,1.00E+02,"M - Actividades de consultoria, científicas, técnicas e similares","D­ORBIT S.R.L., Italy",,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,2.00E+00,1.00E+00,1.00E+00,Caixa Capital,BGI SA,,,,,,,,,,,,,,,,,,,
"DISPLAX, S.A.",505046857,2005,2008,,0.00E+00,0.00,4.72E+04,9.72E+04,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,5.00,1.00E+00,1.00E+00,0.00E+00,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"ENEIDA, WIRELESS & SENSORS, S.A.",510097600,2012,2012,,0.00E+00,0.00,5.63E+04,4.50E+05,,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,5.00,1.00E+00,1.00E+00,0.00E+00,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"EXAGO VENTURES, S.A.",508354684,2007,2010,,0.00E+00,0.00,1.25E+04,6.25E+04,1.25E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,0.01,1.00E+00,0.00E+00,1.00E+00,Pathena,,,,,,,,,,,,,,,,,,,,
GENIBET BIOPHARMACEUTICALS S.A.,507710983,2006,2006,,0.00E+00,0.00,5.00E+05,5.00E+05,,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,5.00,1.00E+00,1.00E+00,0.00E+00,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"GUESTCENTRIC SYSTEMS, S.A.",507844106,2006,2007,3.94E+06,0.00E+00,0.00,9.88E+04,1.50E+05,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"8,228,516.00",0.01,4.00E+00,4.00E+00,0.00E+00,Portugal Ventures,Fast Change,Fundo ISQ Capital,FCR Empreender+,,,,,,,,,,,,,,,,,
"HOTTRADE - REPRESENTAÇÕES, GESTÃO E SERVIÇOS S.A.",505170205,2006,2006,,0.00E+00,0.00,9.50E+04,1.00E+05,4.99E+04,L - Actividades imobiliárias,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,2.00E+00,2.00E+00,0.00E+00,Fast Change,"PME Capital ­Sociedade Portuguesa de Capital de Risco, S.A",,,,,,,,,,,,,,,,,,,
"IMOBILEMAGIC - MOBILE EXPERIENCES, LDA",509412041,2010,2010,,0.00E+00,0.00,5.00E+03,5.00E+03,1.75E+03,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,2.00E+00,0.00E+00,2.00E+00,"PATHENA, SGPS, SA","BLUE BUSINESS, SGPS, SA",,,,,,,,,,,,,,,,,,,
"INDIE CAMPERS, S.A.",510579744,2013,2015,,0.00E+00,0.00,4.69E+04,5.19E+04,1.07E+04,"R - Actividades desportivas, de diversão e recreativas",,,Sem registo,0.00E+00,0,Y,"1,068,487.00",0.01,1.00E+00,1.00E+00,0.00E+00,Fundo de Capital de Risco Dinamização Turística,,,,,,,,,,,,,,,,,,,,
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,2007,2011,7.00E+06,0.00E+00,0.00,5.24E+04,1.05E+06,,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,5.00,1.00E+00,1.00E+00,0.00E+00,ESV III,,,,,,,,,,,,,,,,,,,,
"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",507297687,2007,2011,1.53E+06,0.00E+00,0.00,2.40E+06,3.00E+06,,J - Actividades de informação e de comunicação,,"Oxy Capital (MBO), 2015",Sem registo,0.00E+00,0,N,0.00,1.00,4.00E+00,3.00E+00,1.00E+00,Beta Ciências da Vida,FCR Empreender+,IMPRESA,OXY CAPITAL MEZZANINE FUND,,,,,,,,,,,,,,,,,
"NUTRIGREEN, S.A.",508025095,2007,2009,,0.00E+00,0.00,6.25E+05,6.25E+05,,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,ESV III,,,,,,,,,,,,,,,,,,,,
"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",504995634,2001,2005,5.96E+07,0.00E+00,0.00,1.40E+05,1.47E+06,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"8,259,025.00",0.10,4.00E+00,2.00E+00,2.00E+00,Portugal Ventures,ESV II,North Bridge Venture Partners & Growth Equity,PME Investimentos,,,,,,,,,,,,,,,,,
"PLUX - WIRELESS BIOSIGNALS, S.A.",508041589,2013,2011,7.30E+05,0.00E+00,0.00,2.69E+04,7.57E+04,2.00E+00,"M - Actividades de consultoria, científicas, técnicas e similares",,FCR Empreender+,Sem registo,0.00E+00,0,Y,483.00,10.00,2.00E+00,1.00E+00,1.00E+00,Fundo Capital de Risco Caixa Tech Transfer Accelerator Ventures,"Intercapital ­Investimento e Gestão de Activos, S.A.",,,,,,,,,,,,,,,,,,,
"SKAPHANDRUS, S.A. - EM LIQUIDAÇÃO",510985637,2014,2014,3.50E+04,0.00E+00,0.00,1.24E+05,1.24E+05,,J - Actividades de informação e de comunicação,,"Dissolução, 20/09/2016",Sem registo,0.00E+00,0,Y,"1,856,055.00",0.01,1.00E+00,1.00E+00,0.00E+00,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"STOPLINE FILMS - PRODUÇÃO DE AUDIOVISUAIS, LDA",506766128,2004,2004,,0.00E+00,0.00,3.33E+04,3.33E+04,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,Fast Change,,,,,,,,,,,,,,,,,,,,
"WINDPLUS, S.A.",509149421,2009,2009,3.30E+07,0.00E+00,0.00,2.89E+06,1.24E+06,,"M - Actividades de consultoria, científicas, técnicas e similares","PRINCIPLE POWER, INC., NV USA 2007",,Sem registo,0.00E+00,0,N,0.00,125.00,8.00E+00,1.00E+00,7.00E+00,EDP Inovação,ENERNOVA - Novas Energias S.A. ,Power Unipessoal LDA ,"A. Silva Matos II - Investimentos, SA","PRINCIPLE POWER, INC., NV USA 2007",REPSOL,FAI Energias,EDP Ventures SGPS,,,,,,,,,,,,,
"UNBABEL, LDA",510852254,2013,2014,,0.00E+00,0.00,1.00E+02,1.00E+02,,J - Actividades de informação e de comunicação,"UNBABEL, INC.2013, DELAWARE (USA)",,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,0.00E+00,1.00E+00,Sócios Fundadores,,,,,,,,,,,,,,,,,,,,
"UNBABEL, INC.",5439810,2013,2014,2.25E+06,0.00E+00,0.00,,,,Foreign Company,,,Sem registo,0.00E+00,0,US C-corp,0.00,US C-corp,2.10E+01,1.00E+00,2.00E+01,Caixa Capital,Shilling Capital,Faber ventures,Adeyemi Ajao,Amino Capital,David Peterson,Digital Garage,Elad Gil,FundersClub,Kevin Rose,Klaus von Sayn-Wittgenstein,Matrix Partners,Raymond Tonsing,Rob Emrich,Roger Dickey,Ryan Petersen,Wefunder,Young Guo,Workday Ventures,Investo,Y Combinator
"VENIAM, UNIPESSOAL LDA",510213650,2012,2014,,0.00E+00,0.00,1.34E+06,1.50E+06,,J - Actividades de informação e de comunicação,"VENIAM, INC., 7/20/2012, DE USA",,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,0.00E+00,1.00E+00,"VENIAM, INC.",,,,,,,,,,,,,,,,,,,,
"VENIAM, INC.",5186805,2012,2014,2.02E+07,0.00E+00,0.00,,,,Foreign Company,,,Sem registo,0.00E+00,0,US C-corp,0.00,US C-corp,1.00E+01,1.00E+00,9.00E+00,Union Square Ventures,True Ventures,Cane Investments LLC,BGI SA,Verizon Ventures,Cisco Investments,Liberty Global Ventures,Orange Digital Ventures,Yamaha Motor Ventures,Caixa Capital,,,,,,,,,,,
"YDREAMS - INFORMÁTICA, S.A.",504901575,2000,2006,8.50E+06,0.00E+00,0.00,1.04E+06,1.54E+06,,J - Actividades de informação e de comunicação,,"HOMOLOGAÇÃO DO PLANO DE RECUPERAÇÃO EM PROCESSO DE REVITALIZAÇÃO, 25/05/2015",Sem registo,0.00E+00,0,N,0.00,0.01,2.00E+00,1.00E+00,1.00E+00,ESV II,Herrick Partners,,,,,,,,,,,,,,,,,,,
"GLOBAL ACTIVE, GESTÃO DE PARTICIPAÇÕES SOCIAIS, SGPS S.A.",507300114,2005,2006,,0.00E+00,0.00,2.54E+04,5.87E+04,,K - Actividades financeiras e de seguros,,,Sem registo,0.00E+00,0,Y,"52,459.00",0.50,1.00E+00,1.00E+00,0.00E+00,ESV II,,,,,,,,,,,,,,,,,,,,
"ADFAMILIES PUBLICIDADE, S.A.",510401198,2012,2015,,0.00E+00,0.00,1.65E+05,1.70E+05,3.22E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"2,690,079.00",0.01,1.00E+00,1.00E+00,0.00E+00,Fundo de Capital de Risco Portugal Ventures Valor 2,,,,,,,,,,,,,,,,,,,,
"BYCLOSURE, S.A.",508717400,2008,2015,,0.00E+00,0.00,5.79E+04,6.30E+04,1.78E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"1,776,830.00",0.01,1.00E+00,1.00E+00,0.00E+00,Fundo de Capital de Risco Portugal Ventures Valor 2,,,,,,,,,,,,,,,,,,,,
"BRIGHTWIZARD, S.A",510800467,2013,2015,7.50E+05,0.00E+00,0.00,2.18E+04,7.18E+04,2.18E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,180,345.00",0.01,1.00E+00,1.00E+00,0.00E+00,Fundo de Capital de Risco Portugal Ventures Global 2,,,,,,,,,,,,,,,,,,,,
"ALTURA PUBLISHING, S.A.",510253539,2012,2014,4.60E+05,0.00E+00,0.00,2.78E+04,8.17E+04,2.02E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,500,618.00",0.01,3.00E+00,1.00E+00,2.00E+00,Fundo de Capital de Risco Portugal Ventures Valor 2,"Faber Ventures, S.A.","Faber Investments,SGPS",,,,,,,,,,,,,,,,,,
"BGUESTNOW, S.A.",513006036,2014,2015,2.03E+05,0.00E+00,0.00,9.69E+03,5.00E+04,9.69E+03,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"969,245.00",0.01,1.00E+00,1.00E+00,0.00E+00,Fundo de Capital de Risco Dinamização Turística,,,,,,,,,,,,,,,,,,,,
"EXCITING SPACE, S.A.",510291600,2012,2015,,0.00E+00,0.00,1.69E+05,1.74E+05,6.54E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"6,539,913.00",0.01,1.00E+00,1.00E+00,0.00E+00,Fundo de Capital de Risco Dinamização Turística,,,,,,,,,,,,,,,,,,,,
"ALLIS UBBO INFORMATION SYSTEMS, LDA",509460348,2010,2015,2.00E+05,0.00E+00,0.00,0.00E+00,5.00E+03,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,Caixa Capital,,,,,,,,,,,,,,,,,,,,
"CRIVO INVESTIGAÇÃO APLICADA, S.A.",507945328,2007,2008,,0.00E+00,0.00,2.00E+05,4.60E+05,,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,Beta Early Stages,,,,,,,,,,,,,,,,,,,,
"SPHERAA - PRODUÇÃO DE ENERGIA, LDA",508383463,2008,2008,,0.00E+00,0.00,3.93E+05,3.95E+05,,"D - Electricidade, gás, vapor, água quente e fria e ar frio",,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,3.00E+00,1.00E+00,2.00E+00,"LUSÁGUA ­ SERVIÇOS AMBIENTAIS, S.A.",Fundo ISQ Capital,INSTITUTO DE SOLDADURA E QUALIDADE,,,,,,,,,,,,,,,,,,
"WIZI TO FIND, S.A.",507917880,2006,2006,,0.00E+00,0.00,1.35E+05,1.20E+05,1.60E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"7,928,711.00",0.01,3.00E+00,1.00E+00,2.00E+00,Fundo ISQ Capital,Portugal Ventures,Beyond Newsgen ­ Soluções de Gestão e Personalização de Conteúdos Lda,,,,,,,,,,,,,,,,,,
"IBERMAROS-EQUIPAMENTOS INDUSTRIAIS, S.A.",502009578,2005,2005,,0.00E+00,0.00,2.70E+05,3.05E+05,8.96E+04,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,Y,"6,371.00",1.00,1.00E+00,1.00E+00,0.00E+00,Fundo ISQ Capital,,,,,,,,,,,,,,,,,,,,
"CRITICAL MANUFACTURING, S.A.",508904021,2009,2009,,0.00E+00,0.00,4.96E+05,4.96E+05,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,5.00,1.00E+00,1.00E+00,0.00E+00,"Critical Ventures, SCR, SA",,,,,,,,,,,,,,,,,,,,
"SMARTWATT - ENERGY SERVICES, S.A.",508367360,2008,2009,,0.00E+00,0.00,4.90E+04,9.90E+04,,"M - Actividades de consultoria, científicas, técnicas e similares",,Fusão,Sem registo,0.00E+00,0,N,0.00,1.00,2.00E+00,1.00E+00,1.00E+00,INESC Porto ­ Instituto de Engenharia de Sistemas e Computadores do Porto,"CAIXA CAPITAL ­ SOCIEDADE DE CAPITAL DE RISCO, S.A",,,,,,,,,,,,,,,,,,,
"BIOMIMETX,S.A.",510877893,2013,2015,1.80E+06,0.00E+00,0.00,5.33E+04,5.83E+04,3.33E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"14,284.00",1.00,2.00E+00,1.00E+00,1.00E+00,Fundo Capital de Risco Caixa Tech Transfer Accelerator Ventures,"Intercapital ­Investimento e Gestão de Activos, S.A.",,,,,,,,,,,,,,,,,,,
"FOLLOWPRICE, S.A.",513350152,2015,2015,,0.00E+00,0.00,2.40E+05,2.40E+05,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"6,720,743.00",0.01,2.00E+00,1.00E+00,1.00E+00,Portugal Ventures,"Best Horizon­SGPS, Unipessoal Lda.",,,,,,,,,,,,,,,,,,,
